C9D7D9S7D2;HAC5S8D8C10
HAD8S8HKHQ;D3C2D10S9H3
CQS2SQC9H6;H3H7C4D5S6
S10D7HJD9D4;HQC3H8S2C10
C4S10HJH7DJ;C5HQH10DAD8
S6C4C7S9H7;HJH4S4S10D5
S4C9CAS10C4;H3DQCQC10SQ
H2H3CJC7H6;D2S6CQC8D5
C5CASKH4HA;S10D2D9CQHK
C8D9C3C5D10;HJD7HKC2D3
D2S8CQC6S5;C7H9S10S9C10
S10H5D4SQD9;CAS8C7CQS7
S7S9HKD4S5;D10H10S3CJD8
CQS9H2C9C8;HKH10SKCASJ
D6HKS10H9DK;DAS6DJC5H3
H5HAC8DJH2;C5CAH10H8H7
CJS9H3HAC7;H6D7C2HQD2
DQH8S9HKS2;H2C8SQCAS5
SKH6S7CQCK;C7S5S10CAC9
HJS6S3DJSK;C4H10HKS8CA
H7CQCKH6D8;HAS7D5C6S5
D5DKC8C7H10;SKD9C9D3SJ
C8H7D5S3C3;S6DJCQH9DK
SJSKH4S7D4;SQH9C9H3HQ
S6H10D8S3H9;S10DQHAC3H8
S9HQS7H3HK;C9DAD4S2DK
C6S5C4C9D2;D3H4H7D9H9
H3C10D3D5D4;C5DJH2HQDA
CQD7CJH5SQ;C10C8C5H9SK
C10DKHADQC3;H4S5D2C9C8
C7H2C3D8HA;C2C8S3CAD4
S8S9D4H8CJ;SJH7CQH3C4
DKDJS10C7D10;S9S4D6C5HA
H3D10C7C3H8;H4S3HAHQD4
CQS10HQHJDA;D10D3CKH2D2
S3SKD3HKH4;C10D10D7S2C9
C9HQD5H7D3;C6C10DKS6H2
S7DAD9H3C10;D6HAH6CJSJ
D6C9CAHQDQ;C5S10CQC3S5
D10HAS5H9S10;HQS4SJC3D8
H7HASJC9D4;H2HQS9C2DK
D3H10D7HQS7;DJSQC9HAC2
H3C6D6C9C5;H5S5HQDQH7
H4H2CAC3DQ;D8H10CKD2S8
H10DKSKC9HQ;CAS7CKS4DJ
CJS4SQD8S8;H9S7H5D10DA
DQCKH9D7C2;H4DKSJD5D3
S9D3SQDACQ;D10D4H6S3S8
S5S2CQH3DK;S6D4S4HQC2
S2S7H7DASQ;C8H10S3CJD8
D7S3H3SJC7;D8HKH9D2S5
CKSKH8HACA;DAH10H4S10D6
D10DQC2C5CK;SJDJH6HQSQ
S4D7C2H4C3;SJDQSKD4DA
C10H9HAD10HK;DKC7H8HJHQ
H6H10C3S9D7;D5S8SKS4S10
H5D10D5S4H8;H10C2C6H9CK
H7H10DAC7C5;CJC9D3D4S3
H5S10D9C6C10;C5CQHQHKHJ
D9C9DAH8DQ;H6S6CQHQC5
C7H3S4D10S5;H8S3C9D5SJ
H9CJH7S7S4;S6SKD9HJS8
HJS6C10S8CK;C9D2H10C3S4
DKD3S3HQS6;D10H4D4C4S4
H10CQHQH2HK;H3C10SQD8S3
HQS7S3SJDA;S10H5CJC4H8
SJH3SKD7D9;HKS7S5DKD10
C8S8H5H3HQ;SJS5CQS9H4
DKD4SJS2CQ;H3S3C10C6C2
SJC8D3S9D10;SKS5C4H8DK
C7C2C9D8CK;DQD7DKS8C10
HKS4SQD7D6;S7DAD5D4C9
H10C10DKS5HK;DJS8H6D3H7
H5S4C3C9H7;HAC2C8SKSJ
D8D6SKD2SQ;D5S9D4S4H3
D3S3HQS2S6;C5D9S8C10D10
D4DKS4C10H10;C8S3D6D10H6
CADJS10D2D10;D6H8S7S2C10
S4HAHQH3S7;D10D9D2CJH2
DAC2S6S7C7;C5S3CACQHK
CJHQD5SQH5;H3H9S7D7HK
H10C8S3DAD7;S6CAH9S7DK
D4H10S9S2HQ;HJS7D5DQH2
HAD10S6HKC3;C4CKD3C7SJ
D6D3D10H8C6;S7S4CQC2D2
D8H7H5HJDK;D3S5C6HKSJ
HQDKC2DAC6;D2H2SJC10D4
C8C9D7H5S9;C6C10CQD5H7
S9C10S3H8HA;S10H6S8CQD8
CJHJSQD10C5;D5C7H8DJC3
C9HACJCQS10;SJDKH4H10S5
C5C4S2H2S6;D8H7D3CAC7
DKD8DAH10H6;C6S5D7DJD6
H5DKS8DQC2;C7DAS7SQS9
C4H8C5HAHJ;DAD2D4S9CK
S7CJC2D2D8;C9CKH6S10DQ
D5DQCKSQD4;DKDAD8HKH5
H3DQDACKH6;H9H7C7D7S5
H5H9DQHAD5;H10D10S5S6C5
D5D8H8SQS9;S6C9H10DQD3
C5D5S10CQD10;HJCKHKS7DJ
C10SJS10C4D7;HAD3S9C5H5
D6D8H7CAH3;S8C5C4HQCQ
H9C7CJSJHQ;S10H6S2S5H3
SKD8D5S6HA;D3H2C8DQHJ
H9S8DAD4HK;CJD5HAH6DJ
C6C5CJC9D10;S4S10H3CKHJ
H5SKDQS5HJ;H8S9CQHKS8
